family,eps,kind,label,scale,n_feat,n_used,n_train,n_test,r2,r2_lo,r2_hi,alpha,is_ell_star
plummer3d,0.02,coarse_scale,phi_ell=0.2,0.2,15,500,350,150,0.13129752125995608,-0.01242691044554473,0.24167516213726703,0.001,0
plummer3d,0.02,coarse_scale,phi_ell=0.3,0.3,15,500,350,150,0.025068165270620613,-0.0541007822238469,0.08143501799506811,0.001,0
plummer3d,0.02,baseline,fine_pos,,4,500,350,150,0.00033704236336240534,,,,
plummer3d,0.02,baseline,fine_kin,,1,500,350,150,0.3374981020630988,,,,
plummer3d,0.02,baseline,fine_all,,5,500,350,150,0.34158153026038507,,,,
plummer3d,0.02,baseline,coarse_fixed,,5,500,350,150,0.24188944412484514,,,,
plummer3d,0.02,baseline,persistence,,1,500,350,150,0.1389624543392578,,,,
plummer3d,0.02,baseline,bulk,,6,500,350,150,0.32375013668506414,,,,
plummer3d,0.05,coarse_scale,phi_ell=0.025,0.025,15,500,350,150,0.23982094272453947,0.07496915421800329,0.3766274852353203,13.11133937421563,0
plummer3d,0.05,coarse_scale,phi_ell=0.04,0.04,15,500,350,150,0.2552642006162438,0.09831136986109054,0.3788518494394486,33.83855153428233,0
plummer3d,0.05,coarse_scale,phi_ell=0.06,0.06,15,500,350,150,0.2591242052717223,0.09478286222771123,0.3838542633862596,13.11133937421563,0
plummer3d,0.05,coarse_scale,phi_ell=0.09,0.09,15,500,350,150,0.2692263114455493,0.1051386616065478,0.39140344059201354,0.7626985859023444,0
plummer3d,0.05,coarse_scale,phi_ell=0.14,0.14,15,500,350,150,0.27812267543898783,0.13063011892700077,0.3962403812113314,0.001,1
plummer3d,0.05,coarse_scale,phi_ell=0.2,0.2,15,500,350,150,0.2237182443633955,0.0630117315671256,0.3478053767493403,0.001,0
plummer3d,0.05,coarse_scale,phi_ell=0.3,0.3,15,500,350,150,0.14087030238106435,0.010573791204862707,0.24582734390652455,0.001,0
plummer3d,0.05,baseline,fine_pos,,4,500,350,150,0.19539987139222004,,,,
plummer3d,0.05,baseline,fine_kin,,1,500,350,150,0.20390399742931942,,,,
plummer3d,0.05,baseline,fine_all,,5,500,350,150,0.41144497028217464,,,,
plummer3d,0.05,baseline,coarse_fixed,,5,500,350,150,0.42888561161851124,,,,
plummer3d,0.05,baseline,persistence,,1,500,350,150,0.3854747914971629,,,,
plummer3d,0.05,baseline,bulk,,6,500,350,150,0.3527608912396837,,,,
plummer3d,0.1,coarse_scale,phi_ell=0.025,0.025,15,500,350,150,0.5246766402911036,0.3676470203829785,0.6413244666427049,13.11133937421563,0
plummer3d,0.1,coarse_scale,phi_ell=0.04,0.04,15,500,350,150,0.5274015512574743,0.37048823145940407,0.6422495704436538,13.11133937421563,0
plummer3d,0.1,coarse_scale,phi_ell=0.06,0.06,15,500,350,150,0.5369177874478379,0.37310692306576404,0.6515291452922093,1.9684194472866112,1
