family,eps,target,label,n,metric,value,ci_lo,ci_hi
hernquist3d,0.02,dBeta_late,Δβ(late),500,ell_star_psi,0.04,,
hernquist3d,0.05,dS_late,Δentropy(late),500,R2_fine_pos,0.09305629410410565,,
hernquist3d,0.05,dS_late,Δentropy(late),500,R2_fine_kin,0.1931006409141386,,
hernquist3d,0.05,dS_late,Δentropy(late),500,R2_bulk,0.3480310819273498,,
hernquist3d,0.05,dS_late,Δentropy(late),500,R2_phi_best,0.13818627550857043,,
hernquist3d,0.05,dS_late,Δentropy(late),500,R2_psi_best,0.19606704065223668,,
hernquist3d,0.05,dS_late,Δentropy(late),500,psi_beyond_bulk,-0.0559499337253041,-0.12623668035998906,0.011594753885621159
hernquist3d,0.05,dS_late,Δentropy(late),500,psi_beyond_phi,0.17230665093651742,0.006426936414513982,0.32497250445914305
hernquist3d,0.05,dS_late,Δentropy(late),500,psi_beyond_kin,-0.040441861052734174,-0.13075426225021927,0.03741366405488482
hernquist3d,0.05,dS_late,Δentropy(late),500,ell_star_psi,0.2,,
hernquist3d,0.05,dS_early,Δentropy(early),500,R2_fine_pos,0.044856035078610135,,
hernquist3d,0.05,dS_early,Δentropy(early),500,R2_fine_kin,0.08948473680192714,,
hernquist3d,0.05,dS_early,Δentropy(early),500,R2_bulk,0.18235748016902786,,
hernquist3d,0.05,dS_early,Δentropy(early),500,R2_phi_best,0.060851764767414496,,
hernquist3d,0.05,dS_early,Δentropy(early),500,R2_psi_best,-0.10026024940029998,,
hernquist3d,0.05,dS_early,Δentropy(early),500,psi_beyond_bulk,-0.05204914196653754,-0.13950745255495364,0.028165456559094127
hernquist3d,0.05,dS_early,Δentropy(early),500,psi_beyond_phi,0.03401285449598357,-0.055203025342613087,0.11655777585835336
hernquist3d,0.05,dS_early,Δentropy(early),500,psi_beyond_kin,-0.029795637896089078,-0.10370584398462879,0.03878670387310995
hernquist3d,0.05,dS_early,Δentropy(early),500,ell_star_psi,0.025,,
