seed,orig_beta1,orig_Lspec1,orig_C81,orig_Mcen1,rad_beta1,rad_Lspec1,rad_C81,rad_Mcen1,lmatch_beta1,lmatch_Lspec1,lmatch_C81,lmatch_Mcen1,sham_beta1,sham_Lspec1,sham_C81,sham_Mcen1
2001,0.5718171719332861,1.260136648432768,13.048152923583984,0.01953125,0.7272106031074697,0.9419176783270304,14.469711303710938,0.029296875,0.6543441567838033,0.9853745886651017,14.358821868896484,0.0166015625,0.5803724128355396,1.2525432501298168,11.913818359375,0.01171875
2006,0.5896817427991776,1.2647582938157984,12.891841888427734,0.029296875,0.7059470497920478,0.9267572704524205,15.04470443725586,0.0263671875,0.66264078979716,0.972338926535075,12.816162109375,0.0244140625,0.5975083347082015,1.2535708377397055,12.682369232177734,0.0283203125
2003,0.6077525324537725,1.365174702531337,20.01076889038086,0.021484375,0.7281911324904802,1.0003743232764877,15.85103988647461,0.0556640625,0.6917791600856464,1.043801653355911,15.82406234741211,0.0322265625,0.5766488583348754,1.3756848524767316,18.920150756835938,0.0166015625
2007,0.5320531064048415,1.1458260151296895,30.40499496459961,0.0361328125,0.6531581699760423,0.8355106828054384,34.24034118652344,0.0615234375,0.5482724418885643,0.8700607079189204,28.799179077148438,0.0439453125,0.4904708206025369,1.1342890481639978,30.811996459960938,0.04296875
2004,0.4895950960775106,1.136736886793998,40.77952575683594,0.064453125,0.6759072716184003,0.8269533743589299,36.24717712402344,0.0712890625,0.5679390926682428,0.8587991198418921,38.62388610839844,0.03125,0.5101568712008393,1.1239478888269485,37.234981536865234,0.046875
2000,0.5593460016329301,1.2284946726931751,22.237533569335938,0.0546875,0.6900931243139095,0.9175103145627728,32.42995834350586,0.0439453125,0.6231061117282168,0.9525985730200055,26.341609954833984,0.0390625,0.5556320101169889,1.2344665582620284,25.06789779663086,0.052734375
2005,0.4894019150111534,1.3140751501823473,25.52791976928711,0.013671875,0.6586929388062487,0.9653661180086303,26.458126068115234,0.052734375,0.5914971081603603,0.9967291633445635,21.34759521484375,0.04296875,0.5078032616100817,1.3167618160495707,24.180538177490234,0.021484375
2008,0.5194183062252873,1.376067612688883,27.22323226928711,0.017578125,0.682095908420792,1.0012597533103316,24.944564819335938,0.05078125,0.5807930797379763,1.0407698731096269,25.546859741210938,0.02734375,0.5093705258105288,1.386873853882875,29.75057601928711,0.0107421875
2002,0.5668814750573168,1.313372906559842,18.150741577148438,0.0263671875,0.6957979689831222,0.9764888143988435,20.758895874023438,0.041015625,0.6292583377788328,1.0115603989335362,15.651840209960938,0.0244140625,0.5416130937646462,1.3153738472711127,17.75844955444336,0.03515625
2010,0.5286289195040961,1.1830723845098863,22.738143920898438,0.0517578125,0.685373290840831,0.8760916237921736,29.938594818115234,0.046875,0.569797054522495,0.9105349969612482,27.35546875,0.04296875,0.538314804207185,1.165773113739713,23.90383529663086,0.0625
2009,0.519626346571834,1.1041146497209477,26.880550384521484,0.03125,0.6858776478848565,0.8050151728612932,22.08004379272461,0.0400390625,0.5877186306683703,0.8411590618089377,24.78363037109375,0.0322265625,0.526446282625499,1.124429948551969,27.230224609375,0.01953125
2013,0.5815706960022098,1.209678818989432,21.871944427490234,0.0078125,0.6882759663729432,0.877375688708056,25.570785522460938,0.021484375,0.6320218232330401,0.9158096932634119,21.607234954833984,0.009765625,0.5479183361243458,1.203996359459435,21.929550170898438,0.017578125
2012,0.5616141691471611,1.2789646093094698,17.114925384521484,0.0390625,0.7157578802580963,0.9579739287159377,18.580795288085938,0.0380859375,0.6127014043669152,0.9964023801234698,18.91790771484375,0.0341796875,0.5620917354029856,1.25145763809063,18.75149154663086,0.044921875
