seed,orig_beta1,orig_Lspec1,orig_C81,orig_Mcen1,rad_beta1,rad_Lspec1,rad_C81,rad_Mcen1,tan_beta1,tan_Lspec1,tan_C81,tan_Mcen1,sham_beta1,sham_Lspec1,sham_C81,sham_Mcen1
2000,0.5593460016329301,1.2284946726931751,22.237533569335938,0.0546875,0.6900931243139095,0.9175103145627728,32.42995834350586,0.0439453125,0.4385110011504739,1.4204731131726607,21.22259521484375,0.033203125,0.5556320101169889,1.2344665582620284,25.06789779663086,0.052734375
2001,0.5718171719332861,1.260136648432768,13.048152923583984,0.01953125,0.7272106031074697,0.9419176783270304,14.469711303710938,0.029296875,0.4546826112908311,1.4519135835315846,13.823959350585938,0.01171875,0.5803724128355396,1.2525432501298168,11.913818359375,0.01171875
2005,0.4894019150111534,1.3140751501823473,25.52791976928711,0.013671875,0.6586929388062487,0.9653661180086303,26.458126068115234,0.052734375,0.41407865553479717,1.5296443857862179,21.232112884521484,0.0166015625,0.5078032616100817,1.3167618160495707,24.180538177490234,0.021484375
2004,0.4895950960775106,1.136736886793998,40.77952575683594,0.064453125,0.6759072716184003,0.8269533743589299,36.24717712402344,0.0712890625,0.3515373773054573,1.338391741380656,39.49648666381836,0.025390625,0.5101568712008393,1.1239478888269485,37.234981536865234,0.046875
2007,0.5320531064048415,1.1458260151296895,30.40499496459961,0.0361328125,0.6531581699760423,0.8355106828054384,34.24034118652344,0.0615234375,0.38336965909269005,1.3456079235653933,27.490585327148438,0.037109375,0.4904708206025369,1.1342890481639978,30.811996459960938,0.04296875
2006,0.5896817427991776,1.2647582938157984,12.891841888427734,0.029296875,0.7059470497920478,0.9267572704524205,15.04470443725586,0.0263671875,0.5017240834241953,1.476974002792255,11.593978881835938,0.0146484375,0.5975083347082015,1.2535708377397055,12.682369232177734,0.0283203125
2003,0.6077525324537725,1.365174702531337,20.01076889038086,0.021484375,0.7281911324904802,1.0003743232764877,15.85103988647461,0.0556640625,0.46880517146359135,1.5981161070941647,12.21389389038086,0.0146484375,0.5766488583348754,1.3756848524767316,18.920150756835938,0.0166015625
2002,0.5668814750573168,1.313372906559842,18.150741577148438,0.0263671875,0.6957979689831222,0.9764888143988435,20.758895874023438,0.041015625,0.44237022214201394,1.5196107014482663,18.75265121459961,0.0029296875,0.5416130937646462,1.3153738472711127,17.75844955444336,0.03515625
2008,0.5194183062252873,1.376067612688883,27.22323226928711,0.017578125,0.682095908420792,1.0012597533103316,24.944564819335938,0.05078125,0.3614513486837363,1.6115095769142949,24.124755859375,0.0078125,0.5093705258105288,1.386873853882875,29.75057601928711,0.0107421875
2009,0.519626346571834,1.1041146497209477,26.880550384521484,0.03125,0.6858776478848565,0.8050151728612932,22.08004379272461,0.0400390625,0.363436192332788,1.2979085427226598,24.495712280273438,0.015625,0.526446282625499,1.124429948551969,27.230224609375,0.01953125
2011,0.4908367852698744,1.21255612694543,24.48977279663086,0.0283203125,0.6676133894269466,0.8796045143998359,29.394287109375,0.0380859375,0.3972281086168211,1.4167647739792155,22.82223129272461,0.013671875,0.5398358579990631,1.2058110761215077,30.552730560302734,0.017578125
2012,0.5616141691471611,1.2789646093094698,17.114925384521484,0.0390625,0.7157578802580963,0.9579739287159377,18.580795288085938,0.0380859375,0.459356608249736,1.478194496653633,18.91946029663086,0.0302734375,0.5620917354029856,1.25145763809063,18.75149154663086,0.044921875
2010,0.5286289195040961,1.1830723845098863,22.738143920898438,0.0517578125,0.685373290840831,0.8760916237921736,29.938594818115234,0.046875,0.3294940967057328,1.3791410482228592,23.43743896484375,0.052734375,0.538314804207185,1.165773113739713,23.90383529663086,0.0625
2013,0.5815706960022098,1.209678818989432,21.871944427490234,0.0078125,0.6882759663729432,0.877375688708056,25.570785522460938,0.021484375,0.4575436888843293,1.424604406440609,19.456893920898438,0.0068359375,0.5479183361243458,1.203996359459435,21.929550170898438,0.017578125
2014,0.5872468871258935,1.2959071865458582,16.177059173583984,0.0478515625,0.7014424814662105,0.9748076674275433,20.095027923583984,0.021484375,0.5000075973216698,1.4986462716989868,15.298458099365234,0.015625,0.5910865054239922,1.3063733738455061,17.446151733398438,0.03515625
2016,0.5338627018408112,1.3482803508738324,18.828975677490234,0.041015625,0.6932025485500335,1.0033070212197552,20.407958984375,0.03515625,0.4062921353162152,1.5596805828475055,16.970394134521484,0.0478515625,0.5558323084270993,1.3478515498833703,20.949153900146484,0.0439453125
2015,0.493310801039771,1.3430332547119044,28.37417221069336,0.0185546875,0.654912927362377,1.022270988420197,33.919063568115234,0.0458984375,0.4284754734906633,1.530903859254892,28.351425170898438,0.001953125,0.5047146082083313,1.339586471389278,25.551876068115234,0.013671875
2017,0.6367216509103197,1.3175496723266988,17.33901596069336,0.0380859375,0.745808054935069,0.9702326111920501,16.44985580444336,0.0439453125,0.5124952585118743,1.5357736057797122,16.581527709960938,0.03515625,0.6133927325738082,1.325429408226754,19.809066772460938,0.0419921875
2018,0.5333195108354483,1.1883470112959311,23.827693939208984,0.03515625,0.7014473730035939,0.8585125779350711,25.753841400146484,0.0458984375,0.4173456038937735,1.4115151747292152,26.39718246459961,0.013671875,0.5576080052496002,1.1792315217976208,22.391952514648438,0.0361328125
2020,0.47326019837634714,1.3553838930322304,23.11245346069336,0.0107421875,0.6575008770004516,0.994967857043977,21.052486419677734,0.033203125,0.3945971590855929,1.5738967386083442,20.90863037109375,0.0048828125,0.4977040860404237,1.3405930412435418,17.299068450927734,0.0263671875
