seed,beta0_orig,beta0_int,beta0_sham,beta1_orig,beta1_int,beta1_sham,sigr1_orig,sigr1_int,sigr1_sham,Q0_orig,Q0_int,L0_orig,L0_int
2008,-0.048966673446013464,0.6261903605307413,-0.03844750123692697,0.45508337509409724,0.6278265089960433,0.45143505551019314,0.5562179375296062,0.6281387054884126,0.5485449222747597,2.1205402035224075,2.120348996215353,0.11476203412639777,0.09929353210771684
2002,0.004779203891073225,0.6483285837398222,0.002411921157496888,0.5344049667536122,0.6560241227742414,0.5082660582312795,0.5592837872222711,0.6122884350484884,0.557139129272675,2.100836978572373,2.1006446882591017,0.13803090573798593,0.12406840371795838
2007,-0.06610616648281331,0.6280488996320852,-0.011190008162063059,0.4839362414686843,0.590189189681816,0.4194214104417725,0.5765669222314909,0.6297780480462902,0.5696122598860133,1.8844289072158964,1.8842524943791363,0.06888699738014398,0.0699890293714634
2003,0.10685861827288912,0.6787048373179991,0.08068702718483911,0.5561409911184578,0.6622626801906135,0.506198789945407,0.5617071938878714,0.6302022396249223,0.5471937968663231,2.254176719012724,2.2538405302864772,0.07755721804302283,0.05080275060953269
2006,0.0631473079481174,0.6689578275870629,0.05670167662795256,0.49670796834857933,0.6238140599790836,0.5120000278466896,0.509742019550186,0.5693768523756575,0.5139929908694089,2.25940997768099,2.259245614337211,0.05520540793873663,0.047435189188204205
2004,-0.03492700307337815,0.6407576411075989,-0.06828450637833816,0.36411743659979423,0.5805499920485633,0.3833581074040264,0.5799783931785174,0.6328282812898346,0.5668049208987535,1.8146524697324726,1.8146111124030786,0.046292333491825245,0.029217916425951868
2005,-0.0517550196116352,0.6354422304797376,-0.06307848901843038,0.3943504378403878,0.5947162394297201,0.42056697098148055,0.5511564056621762,0.618000701059813,0.550903891439258,2.059808309808049,2.059602412987298,0.07960187415383758,0.06975712842970612
2000,0.007968113137851729,0.6505480764336675,0.017649259522765193,0.5332240994874875,0.6412797808597605,0.5155581441520305,0.5781906301963378,0.601664467235227,0.5691726243689457,2.0189496603391373,2.018902813642773,0.05022437978355924,0.044797485515621085
2001,-0.016102742252227742,0.6393362046724542,-0.00848893781081217,0.5253858898483548,0.694028720787517,0.5399063339987592,0.5298683238117854,0.5955054389221961,0.5277049670230622,2.1401817651925583,2.1400732583872455,0.07400286711105973,0.05503065886660616
2010,0.03010630930617242,0.6642300964342054,0.07381503963911051,0.4752435148257801,0.6349975892329751,0.4951722608164907,0.5716571034490544,0.6313700700272264,0.5695973679497605,1.9554941166142377,1.9550808246450027,0.07456992769393747,0.06095186553775469
