family,eps,theta,imposed_dbeta0,causal_beta1,ci_lo,ci_hi,persistence_grav,persistence_free,sham_dbeta0,dKE_rel,dQ_rel,causal_sigr,causal_Q,causal_S,causal_C8,orig_beta0,orig_beta1
uniform3d,0.02,20,0.6503,0.4741,0.4639,0.4849,0.7291,0.2022,-0.0024,8.96e-05,8.96e-05,0.0587,-0.0794,0.0065,-0.8043,-0.0018,-0.0099
uniform3d,0.05,20,0.6503,0.4854,0.4759,0.4944,0.7465,0.2022,-0.0024,8.96e-05,8.96e-05,0.0599,-0.0801,-0.0013,-0.8331,-0.0018,-0.0110
uniform3d,0.1,20,0.6503,0.5075,0.4972,0.5179,0.7805,0.2022,-0.0024,8.96e-05,8.96e-05,0.0615,-0.0810,-0.0096,-0.9385,-0.0018,-0.0225
